"","band","first_date","first_year","index","adult.nestl","est.age","site_2022","certainty"
"161","2850-57873","2022-06-07",2022,1,"M",1,"Make Believe","good"
"162","2850-57874","2022-06-07",2022,1,"F",1,"Make Believe","good"
"163","2850-57875","2022-06-07",2022,1,"M",1,"Make Believe","good"
"164","2850-57876","2022-06-14",2022,1,"F",1,"Make Believe","good"
"165","2850-57877","2022-06-14",2022,2,"M",1,"Make Believe","good"
"166","2850-57878","2022-06-14",2022,2,"F",1,"Make Believe","good"
"167","2850-57879","2022-06-17",2022,2,"F",1,"CHR","low"
"168","2850-57880","2022-06-17",2022,2,"M",1,"CHR","low"
"169","2850-57881","2022-06-17",2022,2,"M",1,"CHR","low"
"170","2850-57882","2022-06-17",2022,1,"F",1,"CHR","low"
"171","2850-57883","2022-06-17",2022,2,"F",1,"CHR","low"
"172","2850-57884","2022-06-17",2022,1,"F",1,"CHR","low"
"173","2850-57885","2022-07-02",2022,1,"F",1,"Blue Cloud","good"
"174","2850-57886","2022-07-02",2022,1,"F",1,"Blue Cloud","good"
"175","2850-57887","2022-07-03",2022,1,"F",1,"Maya's","low"
"176","2850-57888","2022-07-03",2022,1,"F",1,"Maya's","low"
"177","2850-57889","2022-07-03",2022,1,"M",1,"Maya's","low"
"178","2850-57890","2022-07-03",2022,1,"M",1,"Maya's","low"
"179","2850-57891","2022-07-05",2022,1,"F",1,"Schaap ","good"
"180","2850-57892","2022-07-05",2022,1,"F",1,"Schaap ","good"
"181","2850-57893","2022-07-05",2022,1,"F",1,"Schaap ","good"
"182","2850-57894","2022-07-05",2022,1,"F",1,"Schaap ","good"
"183","2850-57895","2022-07-05",2022,1,"M",1,"Schaap ","good"
"184","2850-57896","2022-07-11",2022,1,"F",1,"Cargill","low"
"185","2850-57897","2022-07-11",2022,1,"M",1,"Cargill","low"
"186","2850-57898","2022-07-14",2022,1,"M",1,"Grizz","good"
"187","2850-57899","2022-06-01",2022,1,"M",1,"Urban Farm Girlz","good"
"188","2850-57900","2022-07-14",2022,1,"F",1,"Grizz","good"
"189","2850-57901","2021-06-23",2021,3,"M",2,"Blue Cloud","good"
"190","2850-57904","2021-06-29",2021,2,"F",2,"Schaap ","good"
"191","2870-64901","2022-07-14",2022,1,"F",1,"Grizz","good"
"192","2870-64903","2022-07-14",2022,1,"F",1,"Grizz","good"
"193","2870-64904","2022-07-14",2022,1,"M?",1,"Grizz","good"
