"date","initials","day12","est_age","site","nest","brood","eggs","mom_band","dad_band","band","feathers","rwl","mites_nestling","lysis_amt","mass","survived","nestling_notes","mites_pt","nest_notes","nestling_manipulated","nestling_treatment","nestling_manipulation_date","lysis","nestling_num","year","mites","mom_origin","dad_origin","original_site","original_nest","additional_data","clutch_size","max_brood","mites_nest","plasma_amount","slides","tarsus","nestling_manipulation","plasma","sex","mom_biol_band","dad_biol_band"
"2008-07-01","","","10","Mayas","9.0","1","","2540-44570","2540-44569","2351-05709","Y","48.5","","","19.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","10","Mayas","9.0","1","","2540-44570","2540-44569","2351-05710","Y","47","","","19","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","10","Mayas","9.0","1","","2540-44570","2540-44569","2351-05711","Y","45","","","19","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","11","Mayas","18.0","1","","2540-44568","2540-44567","2351-05712","Y","54","","","20.5","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","11","Mayas","18.0","1","","2540-44568","2540-44567","2351-05713","Y","47","","","19","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","11","Mayas","18.0","1","","2540-44568","2540-44567","2351-05714","Y","52","","","18.5","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-01","","","11","Mayas","18.0","1","","2540-44568","2540-44567","2351-05715","Y","51","","","20","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","","",""
"2008-07-23","","","10","Blue Cloud","12.0","1","","2540-44741","UNB","2351-05716","Y","42.5","","","20","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-07-23","","","10","Blue Cloud","12.0","1","","2540-44741","UNB","2351-05716","Y","40","","","18.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-07-23","","","10","Blue Cloud","12.0","1","","2540-44741","UNB","2351-05716","Y","36.5","","","18","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-07-23","","","10","Blue Cloud","12.0","1","","2540-44741","UNB","2351-05716","Y","45","","","19.5","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","","",""
"2008-08-12","","","11","Tantra","9.0","2","","2540-44673","2540-44809","2351-05720","Y",NA,"","","20.5","N","","","*+ sib 2351-25500","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","F","",""
"2008-08-12","","","11","Tantra","9.0","2","","2540-44673","2540-44809","2351-05721","Y",NA,"","","21.75","","","","*+ sib 2351-25500","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","M","",""
"2008-08-12","","","11","Tantra","9.0","2","","2540-44673","2540-44809","2351-05722","Y",NA,"","","21.25","","","","*+ sib 2351-25500","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","M","",""
"2008-08-25","","","9","Sunrise","24.0","2","","2540-44659","2540-44787","2351-05723","Y",NA,"","","18","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Sunrise","24.0","2","","2540-44659","2540-44787","2351-05724","Y",NA,"","","17.25","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Sunrise","24.0","2","","2540-44659","2540-44787","2351-05725","Y",NA,"","","16.5","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Sunrise","24.0","2","","2540-44659","2540-44787","2351-05726","N",NA,"","","14.5","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","42.0","1?","","UNB","UNB","2351-05727","N",NA,"","",NA,"","","","Pair may have moved in from nest # 2 outside","N","","","N","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","42.0","1?","","UNB","UNB","2351-05728","N",NA,"","",NA,"","","","","N","","","N","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","42.0","1?","","UNB","UNB","2351-05729","N",NA,"","",NA,"","","","","N","","","N","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","42.0","1?","","UNB","UNB","2351-05730","N",NA,"","",NA,"","","","","N","","","N","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","15.0","2","","2540-44755","2540-44555","2351-05731","N","43.5","","","14.25","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","15.0","2","","2540-44755","2540-44555","2351-05732","N","36","","","14.5","","","","","N","","","Y","2/3","2008","Y","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","9","Make Believe","15.0","2","","2540-44755","2540-44555","2351-05733","N","30.5","","","14.25","","","","","N","","","Y","3/3","2008","Y","","","","","Microbe data available","4.0","","","","",NA,NA,"N","","",""
"2008-08-25","","","14","Make Believe","40.0","2","","2540-44510","2540-44785","2351-05734","Y",NA,"","","22.75","","","","","N","","","Y","1/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","F","",""
"2008-08-25","","","14","Make Believe","40.0","2","","2540-44510","2540-44785","2351-05735","Y",NA,"","","20.5","","","","","N","","","Y","2/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-08-25","","","14","Make Believe","40.0","2","","2540-44510","2540-44785","2351-05736","Y",NA,"","","21.25","","","","","N","","","Y","3/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-08-25","","","14","Make Believe","40.0","2","","2540-44510","2540-44785","2351-05737","Y",NA,"","","22","","","","","N","","","Y","4/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-08-25","","","14","Make Believe","40.0","2","","2540-44510","2540-44785","2351-05738","Y",NA,"","","16","","","","","N","","","Y","5/5","2008","N","","","","","Microbe data available","5.0","","","","",NA,NA,"N","M","",""
"2008-08-29","","","12","Fisher","31.0","2","","2540-44684","2540-44731","2351-05739","Y",NA,"","","17.75","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","M","",""
"2008-08-29","","","12","Fisher","31.0","2","","2540-44684","2540-44731","2351-05740","Y",NA,"","","14","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","U","",""
"2008-08-29","","","12","Fisher","31.0","2","","2540-44684","2540-44731","2351-05741","Y",NA,"","","18.25","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","M","",""
"2008-08-29","","","12","Fisher","31.0","2","","2540-44684","2540-44731","2351-05742","Y",NA,"","","17.5","","","","","N","","","Y","4/4","2008","Y","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","F","",""
"2008-08-29","","","11","Fisher","37.0","2","","2540-44608","2540-44590","2351-05743","Y",NA,"","","21.75","","","","","N","","","Y","1/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","F","",""
"2008-08-29","","","11","Fisher","37.0","2","","2540-44608","2540-44590","2351-05744","Y",NA,"","","20.5","","","","","N","","","Y","2/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","F","",""
"2008-08-29","","","11","Fisher","37.0","2","","2540-44608","2540-44590","2351-05745","Y",NA,"","","20","","","","","N","","","Y","3/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","F","",""
"2008-08-29","","","11","Fisher","37.0","2","","2540-44608","2540-44590","2351-05746","Y",NA,"","","19.75","","","","","N","","","Y","4/4","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"Y","M","",""
"2008-08-29","","","11","Centennial","10.0","2","","2540-44690","2540-44692","2351-05747","Y",NA,"","","20","","","","","N","","","Y","1/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","F","",""
"2008-08-29","","","11","Centennial","10.0","2","","2540-44690","2540-44692","2351-05748","Y",NA,"","","20.5","","","","","N","","","Y","2/3","2008","N","","","","","Microbe data available","4.0","","","","",NA,NA,"N","F","",""
