"Bird","date","B_total.bright","B_avg.bright","B_hue","B_chrom","R_total.bright","R_avg.bright","R_hue","R_chrom","T_total.bright","T_avg.bright","T_hue","T_chrom","V_total.bright","V_avg.bright","V_hue","V_chrom"
"2850-57639","06_07_22",54080.6566666667,26.9594499833832,611.004,0.460182205773491,59583.8433333333,29.7028132269857,611.004,0.465097908563998,33279.3033333333,16.5898820206049,621.383,0.51735958344399,38156.4866666667,19.0211797939515,622.015333333333,0.497544056232107
"2850-57640","06_07_22",53508.95,26.6744516450648,636.718333333333,0.43807517881889,63455.375,31.6327891326022,626.003,0.459309746415659,29912.26,14.9113958125623,611.004,0.546039387247205,58222.8533333333,29.0243536058491,630.467333333333,0.454086317383625
"2850-57641","06_10_22",53397.4066666667,26.6188467929545,648.778,0.472716013807952,49715.18,24.7832402791625,666.409666666667,0.510353505419535,35447.5466666667,17.6707610501828,664.052666666667,0.524865217166265,NA,NA,NA,NA
"2850-57642","06_10_22",38800.12,19.3420338983051,648.384666666667,0.505559060312318,64655.82,32.2312163509472,656.055666666667,0.473946791246257,17901.2966666667,8.92387670322366,673.076,0.571306053435705,45488.39,22.6761665004985,652.065,0.490409770568066
"2850-57643","06_13_22",42865.7933333333,21.3687902957793,689.138,0.438130662033512,67852.2766666667,33.8246643403124,625.447333333333,0.42285299273073,21390.08,10.6630508474576,689.448333333333,0.541550132498365,51727.5266666667,25.7864041209704,679.147666666667,0.454579717138076
"2850-57644","06_16_22",57123.0433333333,28.4760933865071,611.004,0.447256430564019,59572.4866666667,29.6971518777002,633.691333333333,0.469379978251085,23917.25,11.9228564307079,687.455333333333,0.545791580308292,43215.23,21.5429860418744,618.34,0.521121498635495
"2850-57645","06_16_22",40133.17,20.0065653040877,625.135,0.469153660611001,59445.2366666667,29.633717181788,630.108,0.470303247074723,27933.4533333333,13.924951811233,688.765666666667,0.554820262160531,44693.19,22.2797557328016,662.08,0.470981619292865
"2850-57646","06_17_22",38772.35,19.3281904287139,644.054666666667,0.47964925359777,53979.55,26.9090478564307,644.368666666667,0.469821451059266,26144.8133333333,13.0333067464274,643.426666666667,0.528831228030712,37785.4666666667,18.8362246593553,660.423,0.473156709970794
"2850-57647","06_17_22",51062.2933333333,25.4547823197075,638.165333333333,0.436115595339096,56536.8566666667,28.1838767032237,617.439,0.473800387577565,25873.0666666667,12.8978398138917,643.740666666667,0.543297931551427,41241.5733333333,20.5591093386507,626.097,0.502370676469506
"2850-57648","06_17_22",42029.89,20.9520887337986,610.683666666667,0.46637998430623,37339.7533333333,18.6140345629777,627.686333333333,0.491184052146335,23284.4733333333,11.6074144233965,627.686333333333,0.494800711316089,49147.4066666667,24.5002027251579,611.004,0.465461664830077
"2850-57649","06_17_22",45865.6166666667,22.8642156862745,653.731,0.440671476859732,47247.96,23.5533200398804,627.372333333333,0.457667001702866,28869.7166666667,14.3916832834829,680.086,0.519710219729167,32183.3833333333,16.0435609837155,644.425,0.508434103881419
"2850-57650","06_17_22",51470.9033333333,25.6584762379528,610.683666666667,0.396582140290815,75923.5766666667,37.8482436025258,611.004,0.422268626461774,35485.6133333333,17.6897374543038,637.359,0.527524421346139,49636.7666666667,24.7441508806913,610.683666666667,0.447231158213035
"2850-57651","06_17_22",40994.5833333333,20.4359837155201,643.112666666667,0.446840986082087,43541.29,21.7055284147557,666.801666666667,0.460032077872446,32467.1866666667,16.1850382186773,660.737,0.519100264877987,54156.4,26.9972083748754,637.048666666667,0.480978814771114
"2850-57652","06_17_22",51412.16,25.6291924227318,665.8,0.427143999124256,51030.13,25.4387487537388,616.797666666667,0.469492898490638,32644.8466666667,16.2736025257561,687.027333333333,0.547521478228874,52554.2333333333,26.1985211033566,648.784,0.446364335325115
"2850-57653","06_17_22",43840.5733333333,21.8547224991692,665.8,0.470898637449632,54463.9733333333,27.1505350614822,659.167,0.465647634438679,16985.7866666667,8.46749086075108,660.171666666667,0.535457504626435,30909.69,15.4086191425723,659.167,0.497215455018639
"2850-57654","06_17_22",47391.7566666667,23.6250033233632,625.776333333333,0.464684502271715,60122.3533333333,29.9712628780326,625.776333333333,0.455286658363771,35743.9666666667,17.8185277500831,642.785666666667,0.491470518012548,43522.26,21.6960418743769,642.471666666667,0.468765781215357
"2850-57655","06_17_22",42844.73,21.3582901296112,633.055333333333,0.494332316291514,31091.84,15.4994217347956,643.740666666667,0.490220385860777,22747.9833333333,11.3399717514124,669.785333333333,0.546257007963445,46153.59,23.0077716849452,611.004,0.502907703238979
"2850-57656","06_17_22",42186.2833333333,21.0300515121303,610.683666666667,0.436138594306844,55346.1066666667,27.5902824858757,611.004,0.438703207214601,39149.1,19.5160019940179,627.686333333333,0.471636446333429,55886.78,27.8598105682951,611.004,0.449208379556506
