band,site,recap,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,color_top,color_bottom,mb_tape,cb_side,lysis,nest_1,mate_band_1,ci_1,eggs_1,hatched_1,day_12_1,nest_fate_1,success_1,nest_2,mate_band_2,ci_2,eggs_2,hatched_2,day_12_2,nest_fate_2,success_2,nest_3,mate_band_3,ci_3,eggs_3,hatched_3,day_12_3,nest_fate_3,success_3,nest_4,mate_band_4,ci_4,eggs_4,hatched_4,day_12_4,nest_fate_4,success_4,throat_avg_bright,breast_avg_bright,belly_avg_bright,vent_avg_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2850-57620,Colorado Horse Rescue,Y,M,2022-06-17,121,121,121,Y,Y,84,84,84,87,87,87,18.2,Black,Yellow,NONE,R,Y,39,2850-57649,2022-05-31,4,4,4,fledged,Y,39.2,2850-57649,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,8.903889997,21.60838485,22.72290794,21.84048023,2022,151,200,NA,NA,121,87,84
2850-57629,Urban Farm Girlz,Y,F,2022-06-20,117,117,117,Y,N,79,79,79,NA,NA,NA,19.02,Dk Green,Yellow,NONE,L,Y,8,2850-57868,2022-06-11,4,3,3,fledged,Y,8.2,2850-57868,2022-07-26,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.71125789,25.05653539,19.96372715,17.6905334,2022,162,207,NA,NA,117,NA,79
2850-57633,Cooks,Y,M,2022-07-01,121.5,121,121,Y,Y,88.5,88.5,89,89,89,89,17.94,Black,Yellow,NONE,L,Y,2,2850-57637,2022-05-23,5,1,1,fledged,Y,22,2850-57637,2022-07-06,3,0,0,predated,N,22.2,2850-57637,2022-07-23,4,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,11.19749917,17.60286474,16.38984214,19.65409771,2022,143,187,204,NA,121.1666667,89,88.66666667
2850-57635,Make Believe,Y,F,2022-06-25,121,120,121,Y,Y,75.5,75.5,75.5,75,75,75.5,17.99,Purple,White,NONE,L,Y,34,2850-57668,2022-05-31,5,4,4,fledged,Y,38,2850-57668,2022-07-18,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.44884015,28.03611499,23.18695248,24.56099701,2022,151,199,NA,NA,120.6666667,75.16666667,75.5
2850-57636,Jays,Y,M,2022-06-23,121,121,121,Y,Y,91.5,92,92,94,94,94,17.07,Dk Blue,Orange,NONE,R,Y,2,2850-57660,2022-06-22,3+,0,0,unhatched,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.28424393,30.36141077,29.84851446,32.38196743,2022,173,NA,NA,NA,121,94,91.83333333
2850-57637,Cooks,N,F,2022-05-28,115,115,114,Y,Y,76,76,76,73,73,73,23.06,Purple,Dk Green,NONE,R,Y,2,2850-57633,2022-05-23,5,1,1,fledged,Y,22,2850-57633,2022-07-06,3,0,0,predated,N,22.2,2850-57633,2022-07-23,4,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,21.08817714,22.7540329,18.7512014,21.16858757,2022,143,187,204,NA,114.6666667,73,76
2850-57638,Cooks,N,M,2022-05-28,122,122,122,Y,Y,105,105,105,99,99,99,16.53,Black,White,Green,R,Y,29,2850-57853,2022-05-13,5,5,5,fledged,Y,8,2850-57853,2022-07-02,5,5,5,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.19052011,18.05735626,18.27628946,23.08476072,2022,133,183,NA,NA,122,99,105
2850-57639,McCauley,N,M,2022-06-07,121,120.5,121,Y,Y,91,91,91,87.5,88,88,19.46,Orange,Dk Green,NONE,R,Y,1,2850-57640,2022-05-23,2,2,2,fledged,Y,2,2850-57640,2022-07-07,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.58988202,29.70281323,26.95944998,19.02117979,2022,143,188,NA,NA,120.8333333,87.83333333,91
2850-57640,McCauley,N,F,2022-06-07,117,117,117,Y,Y,70,70,70,71,71,71,19.54,Lt Blue,Pink,NONE,R,Y,1,2850-57639,2022-05-23,2,2,2,fledged,Y,2,2850-57639,2022-07-07,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.91139581,31.63278913,26.67445165,29.02435361,2022,143,188,NA,NA,117,71,70
2850-57641,Sol y Sombra,N,F,2022-06-10,119,119,119,Y,Y,84,84.5,84.5,83,83.5,84,NA,Lt Blue,White,NONE,R,Y,2,2850-57642,2022-05-29,5,0,0,predated,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.67076105,24.78324028,26.61884679,NA,2022,149,NA,NA,NA,119,83.5,84.33333333
2850-57642,Sol y Sombra,N,M,2022-06-10,122,122,122,Y,Y,91,91.5,91,91.5,91.5,91.5,17.41,Purple,Purple,NONE,R,Y,2,2850-57641,2022-05-29,5,0,0,predated,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,8.923876703,32.23121635,19.3420339,22.6761665,2022,149,NA,NA,NA,122,91.5,91.16666667
2850-57643,Dome House,N,M,2022-06-13,121.5,122,122,Y,Y,89,89.5,89,89.5,89.5,89,18,Dk Green,Red,NONE,L,Y,1,2811-83207,2022-06-02,3,2,2,fledged,Y,2,2811-83207,2022-07-17,5,4,4,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.66305085,33.82466434,21.3687903,25.78640412,2022,153,198,NA,NA,121.8333333,89.33333333,89.16666667
2850-57645,Struthers,N,F,2022-06-16,116,116,116.5,Y,Y,75,75,75,76.5,76.5,76.5,19.03,Yellow,Pink,NONE,L,Y,22,2850-57674,2022-06-10,5,0,0,unhatched,N,3,2850-57674,2022-07-31,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.92495181,29.63371718,20.0065653,22.27975573,2022,161,212,NA,NA,116.1666667,76.5,75
2850-57646,Colorado Horse Rescue,N,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,92.5,16.25,Lt Blue,Lt Blue,NONE,R,Y,54,UNB,2022-05-30,4,0,0,unhatched,N,54.2,UNB,2022-07-05,4,3,3,predated,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.03330675,26.90904786,19.32819043,18.83622466,2022,150,186,NA,NA,118,92.83333333,92
2850-57647,Colorado Horse Rescue,N,M,2022-06-17,122,122,122.5,Y,Y,87.5,87.5,87,86,85.5,86,15.8,White,White,NONE,R,Y,112,2850-57879,2022-06-05,5,4,4,fledged,Y,112.2,2850-57879,2022-07-29,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.89783981,28.1838767,25.45478232,20.55910934,2022,156,210,NA,NA,122.1666667,85.83333333,87.33333333
2850-57648,Colorado Horse Rescue,N,F,2022-06-17,120,119.5,120,Y,Y,76,76,76,77,77,77,17.74,DK Blue,Yellow,NONE,L,Y,133,2850-57570,2022-06-10,3,1,1,fledged,Y,151,2850-57570,2022-06-30,4,3,3,failed,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.60741442,18.61403456,20.95208873,24.50020273,2022,161,181,NA,NA,119.8333333,77,76
2850-57649,Colorado Horse Rescue,N,F,2022-06-17,116,116,116,N,Y,NA,NA,NA,73.5,73.5,73.5,17.01,Orange,Purple,NONE,R,Y,39,2850-57620,2022-05-31,4,4,4,fledged,Y,39.2,2850-57620,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.39168328,23.55332004,22.86421569,16.04356098,2022,151,200,NA,NA,116,73.5,NA
2850-57650,Colorado Horse Rescue,N,F,2022-06-17,116,116.5,116.5,Y,Y,74,74.5,74,74,74.5,74.5,16.49,Orange,Pink,NONE,R,Y,25,2850-57881,2022-05-23,6,4,4,fledged,Y,95,2850-57881,2022-07-19,4,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.68973745,37.8482436,25.65847624,24.74415088,2022,143,200,NA,NA,116.3333333,74.33333333,74.16666667
2850-57651,Colorado Horse Rescue,N,F,2022-06-17,121,121,121,Y,N,76,76,75.5,NA,NA,NA,17.17,White,DK Green,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.18503822,21.70552841,20.43598372,26.99720837,2022,NA,NA,NA,NA,121,NA,75.83333333
2850-57652,Colorado Horse Rescue,N,F,2022-06-17,110.5,110.5,110.5,Y,Y,72,72,72,74,74,74,15.44,Dk Green,Yellow,NONE,R,Y,66,2850-57581,2022-05-22,3,3,3,fledged,Y,16,2850-57581,2022-06-10,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.27360253,25.43874875,25.62919242,26.1985211,2022,142,161,NA,NA,110.5,74,72
2850-57653,Colorado Horse Rescue,N,M,2022-06-17,119.5,119,119.5,Y,Y,76,76,77,78,78,78,16.37,Red,Purple,NONE,L,Y,86,2850-57588,2022-05-31,4,0,0,unhatched,N,45,2850-57588,2022-07-03,5,4,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,8.467490861,27.15053506,21.8547225,15.40861914,2022,151,184,NA,NA,119.3333333,78,76.33333333
2850-57654,Colorado Horse Rescue,N,F,2022-06-17,117,116.5,116.5,Y,Y,81,81,81,80,80,79.5,16.58,Yellow,Dk Blue,NONE,L,Y,80,2850-57580,2022-06-01,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.81852775,29.97126288,23.62500332,21.69604187,2022,152,NA,NA,NA,116.6666667,79.83333333,81
2850-57655,Colorado Horse Rescue,N,F,2022-06-17,118,117.5,117.5,N,Y,NA,NA,NA,76,76,76,15.59,Black,Lt Blue,NONE,R,Y,82,2850-57745,2022-05-26,5,1,0,predated,N,115,2850-57745,2022-06-30,3,0,0,unhatched,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.33997175,15.49942173,21.35829013,23.00777168,2022,146,181,NA,NA,117.6666667,76,NA
2850-57656,Colorado Horse Rescue,N,F,2022-06-17,116,116,115.5,Y,Y,76,76,75.5,76,76,76,17.54,Yellow,Dk Blue,NONE,R,Y,78,2850-57744,2022-06-08,5,5,5,fledged,Y,78.2,UNB,2022-07-30,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.51600199,27.59028249,21.03005151,27.85981057,2022,159,211,NA,NA,115.8333333,76,75.83333333
2850-57657,Colorado Horse Rescue,N,M,2022-06-17,117,117,117.5,Y,Y,81,81,81,81,81.5,81.5,16.32,Orange,Orange,NONE,L,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.2992456,28.51057827,21.68293287,17.9373679,2022,NA,NA,NA,NA,117.1666667,81.33333333,81
2850-57658,Colorado Horse Rescue,N,F,2022-06-17,115.5,116,115.5,Y,Y,72,72,72,71.5,71,71.5,15.3,Pink,White,NONE,R,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.68229977,27.62050017,29.91909106,51.49893154,2022,NA,NA,NA,NA,115.6666667,71.33333333,72
2850-57659,Blue Cloud,N,M,2022-06-18,120.5,120,120.5,Y,N,89,89,90,NA,NA,NA,18.87,Orange,Dk Blue,NONE,R,Y,4,2850-57869,2022-05-22,2,2,2,fledged,Y,17,2850-57869,2022-07-06,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.84195912,21.67765038,25.05338485,24.84697906,2022,142,187,NA,NA,120.3333333,NA,89.33333333
2850-57660,Jays,N,F,2022-06-23,115,115,115,Y,N,73.5,73.5,73.5,NA,NA,NA,16.57,Lt Blue,Dk Green,White,R,Y,2,2850-57636,2022-06-22,3+,0,0,unhatched,N,1,2850-57751,2022-07-23,4,0,0,predated,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,26.80313061,42.0082785,35.86798604,29.05569957,2022,173,204,NA,NA,115,NA,73.5
2850-57661,Karens,N,F,2022-06-24,120,120,120,Y,Y,79.5,79.5,79.5,78.5,78.5,78,16.65,Lt Blue,Yellow,NONE,R,Y,1,2850-57662,2022-05-30,4,3,0,predated,N,1.2,2850-57662,2022-07-05,5,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.54673978,32.47876039,25.76237787,22.52499335,2022,150,186,NA,NA,120,78.33333333,79.5
2850-57662,Karens,N,M,2022-06-24,120,120,120,N,N,NA,NA,NA,NA,NA,NA,17.29,Red,White,NONE,L,Y,1,2850-57661,2022-05-30,4,3,0,predated,N,1.2,2850-57661,2022-07-05,5,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.2231572,23.22813393,18.99490528,25.66953473,2022,150,186,NA,NA,120,NA,NA
2850-57663,Cooks,N,F,2022-06-24,115.5,115.5,115,Y,N,78.5,78.5,78.5,67,67,67,15.86,Orange,Dk Blue,Green,L,Y,31,2850-57573,2022-05-29,4,4,4,fledged,Y,14,2850-57573,2022-07-19,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,24.7404769,42.12408774,36.61033234,37.0324676,2022,149,200,NA,NA,115.3333333,67,78.5
2850-57664,Cooks,N,F,2022-06-24,114.5,114.5,114.5,Y,Y,74,74,74,74,74,74,20.15,Dk Blue,Yellow,Green,L,Y,27,2850-57676,2022-06-18,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.39181954,20.95414423,25.09655866,29.02535726,2022,169,NA,NA,NA,114.5,74,74
2850-57665,Cooks,N,M,2022-06-24,125.5,125.5,125,Y,N,94.5,94.5,94,NA,NA,NA,18.44,NA,NA,NONE,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,9.936262878,25.36891991,23.38723164,22.87133765,2022,NA,NA,NA,NA,125.3333333,NA,94.33333333
2850-57666,Cathys,N,M,2022-06-25,121.5,121.5,121.5,Y,Y,85,85.5,85,84,84,84,18.09,Orange,Black,NONE,R,Y,1,2850-57667,2022-06-07,5,0,0,unhatched,N,1.2,2850-57667,2022-07-13,4,0,0,unhatched,N,2,2850-57667,2022-08-01,4,1,1,failed,N,NA,,NA,NA,NA,NA,,,14.63163011,NA,34.40713692,25.27785477,2022,158,194,213,NA,121.5,84,85.16666667
2850-57667,Cathys,N,F,2022-06-25,115,114,114.5,Y,Y,75.5,76,76,77,77,77,16.46,Lt Blue,Red,NONE,R,Y,1,2850-57666,2022-06-07,5,0,0,unhatched,N,1.2,2850-57666,2022-07-13,4,0,0,unhatched,N,2,2850-57666,2022-08-01,4,1,1,failed,N,NA,,NA,NA,NA,NA,,,19.98264374,18.68911931,21.39545198,16.86031572,2022,158,194,213,NA,114.5,77,75.83333333
2850-57668,Make Believe,N,M,2022-06-25,115,115,116,Y,Y,81,81,81.5,79,79.5,79.5,15.92,Lt Blue,Lt Blue,Blue,L,Y,34,2850-57635,2022-05-31,5,4,4,fledged,Y,38,2850-57635,2022-07-18,5,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.681557,26.74239614,23.99616318,20.15335992,2022,151,199,NA,NA,115.3333333,79.33333333,81.16666667
2850-57669,Colorado Horse Rescue,N,M,2022-06-28,124,123.5,124,Y,Y,90,90,90,89.5,89.5,90,17.82,Lt Blue,Lt Green,NONE,L,Y,33,2850-57586,2022-05-31,5,0,0,unhatched,N,33.2,2850-57586,2022-07-06,1,0,0,unhatched,N,149,2850-57586,2022-07-24,5,4,NA,NA,NA,NA,,NA,NA,NA,NA,,,14.07982054,27.72719176,17.24374875,18.57412762,2022,151,187,205,NA,123.8333333,89.66666667,90
2850-57670,Colorado Horse Rescue,N,F,2022-06-28,119,119,118.5,Y,N,80,80,80,NA,NA,NA,18.2,Pink,Orange,NONE,L,Y,73,2850-57671,2022-06-04,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.57938518,27.12702227,24.27453971,21.16678132,2022,155,NA,NA,NA,118.8333333,NA,80
2850-57671,Colorado Horse Rescue,N,M,2022-06-28,118,118,117.5,Y,N,83.5,83,83,75.5,76,76,17.53,DK Blue,Pink,NONE,R,Y,73,2850-57670,2022-06-04,5,5,5,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,16.28350449,28.84180791,23.68146062,25.7482569,2022,155,NA,NA,NA,117.8333333,75.83333333,83.16666667
2850-57672,Cooks,N,F,2022-06-29,119.5,120,120,Y,Y,78,78,78,77.5,78,78,15.52,Red,Yellow,NONE,R,Y,17,2850-57673,2022-06-01,4,4,4,fledged,Y,7,2850-57673,2022-07-29,1,0,0,predated,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.89017614,35.84661682,35.58468594,44.24337488,2022,152,210,NA,NA,119.8333333,77.83333333,78
2850-57673,Cooks,N,M,2022-06-29,121.5,121,121,Y,Y,86.5,86.5,86,86,86,86,16.42,Pink,Pink,NONE,R,Y,17,2850-57672,2022-06-01,4,4,4,fledged,Y,7,2850-57672,2022-07-29,1,0,0,predated,N,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.84304919,23.8083001,25.12981888,29.45398804,2022,152,210,NA,NA,121.1666667,86,86.33333333
2850-57674,Struthers,N,M,2022-06-30,120,120,120,Y,Y,87.5,87.5,87.5,87.5,87.5,87.5,17.49,Dk Blue,Dk Blue,NONE,L,Y,22,2850-57645,2022-06-10,5,0,0,unhatched,N,3,2850-57645,2022-07-31,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.36206547,21.17854271,19.32716683,21.16911266,2022,161,212,NA,NA,120,87.5,87.5
2850-57675,Cooks,N,M,2022-07-01,120.5,120.5,120.5,Y,Y,90,90.5,90,88,87.5,87.5,16.13,Dk Green,Red,White,L,Y,13,2850-57749,2022-07-04,4,4,4,failed,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.83237454,30.69659189,23.809111,29.3981572,2022,185,NA,NA,NA,120.5,87.66666667,90.16666667
2850-57676,Cooks,N,M,2022-07-01,115,115,115.5,Y,Y,71.5,71.5,71.5,74,74,74.5,15.04,Black,Red,NONE,R,Y,27,2850-57664,2022-06-18,4,4,4,fledged,Y,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.13272848,11.56205716,29.82227983,24.87789963,2022,169,NA,NA,NA,115.1666667,74.16666667,71.5
2850-57677,Mayas,N,M,2022-07-03,121.5,121,121,Y,Y,91.5,91,91.5,90.5,91,91,17.43,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,17.29545696,25.54471751,18.4886557,18.69857095,2022,NA,NA,NA,NA,121.1666667,90.83333333,91.33333333
2850-57678,Mayas,N,M,2022-07-03,119,119,118.5,N,Y,NA,NA,NA,93,93.5,93.5,17.11,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.36115321,31.2820339,28.878001,28.23150548,2022,NA,NA,NA,NA,118.8333333,93.33333333,NA
2850-57679,Starlight,N,M,2022-07-03,119,119.5,119,Y,Y,88,88.5,88,85.5,86,85.5,19.52,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.16068295,17.62439681,16.56658857,23.81563144,2022,NA,NA,NA,NA,119.1666667,85.66666667,88.16666667
2850-57680,Make Believe,N,M,2022-07-04,121,121,121,Y,Y,82,82,82,82.5,82.5,82.5,17.36,Black,Black,NONE,R,Y,62,2850-57876,2022-06-10,4,0,0,unhatched,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,25.38980724,23.47686939,24.68103357,26.90226487,2022,161,NA,NA,NA,121,82.5,82
2850-57681,Schaap,N,M,2022-07-05,118,118,118,Y,Y,91,91,91,92.5,93,93,16.6,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.1495098,32.27550349,27.13720837,21.61033732,2022,NA,NA,NA,NA,118,92.83333333,91
2850-57682,Schaap,N,F,2022-07-05,118,118,118,Y,Y,77,77,77.5,77,77.5,77.5,18.46,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,18.34980558,31.75636092,21.29648887,26.47547026,2022,NA,NA,NA,NA,118,77.33333333,77.16666667
2850-57683,Struthers,N,F,2022-07-07,119,119,118.5,N,Y,NA,NA,NA,74.5,74.5,74.5,17.66,Lt Green,Orange,NONE,R,Y,23,2850-57684,2022-07-03,4,0,0,unhatched,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,21.64027584,34.47143569,31.81381356,40.45589565,2022,184,NA,NA,NA,118.8333333,74.5,NA
2850-57684,Struthers,N,M,2022-07-07,119,119.5,119.5,N,Y,NA,NA,NA,83,83,83,17.64,Yellow,Black,NONE,L,Y,23,2850-57683,2022-07-03,4,0,0,unhatched,N,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,14.19910103,22.18527418,16.62819541,18.47431871,2022,184,NA,NA,NA,119.3333333,83,NA
2850-57685,Boyer,N,F,2022-07-07,112,112,111.5,Y,Y,75.5,75.5,75,75,75,75,19.79,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.33376537,18.80012629,14.33037886,21.16718013,2022,NA,NA,NA,NA,111.8333333,75,75.33333333
2850-57686,Boyer,N,M,2022-07-07,121.5,121,121,Y,Y,98,98,98,95,95.5,95,19.2,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,10.60123795,26.45823696,12.44804586,21.38051014,2022,NA,NA,NA,NA,121.1666667,95.16666667,98
2850-57687,Boyer,N,F,2022-07-07,118,118,118,Y,N,71.5,71.5,71.5,NA,NA,NA,16.18,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,15.3612662,21.99544699,24.59370389,24.4970555,2022,NA,NA,NA,NA,118,NA,71.5
2850-57688,Boyer,N,F,2022-07-07,118,118,118,Y,Y,80,80.5,80.5,79,79,79.5,18.51,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.94091226,23.23697242,15.11613327,17.31038385,2022,NA,NA,NA,NA,118,79.16666667,80.33333333
2850-57689,Boyer,N,M,2022-07-07,123,123,123,N,N,99,NA,NA,98,NA,NA,18.68,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.10673313,15.98059654,10.11616318,14.26129279,2022,NA,NA,NA,NA,123,NA,NA
2850-57690,Plumbumpy,N,M,2022-07-07,119,119.5,119,N,Y,NA,NA,NA,89,89.5,89,17.98,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,12.90849784,24.78394317,20.14723662,21.97059156,2022,NA,NA,NA,NA,119.1666667,89.16666667,NA
2850-57691,Martes,N,M,2022-07-07,118,117.5,117.5,Y,Y,73,73,73.5,77,77,76.5,17.13,NA,NA,NA,NA,Y,1?,2850-57692,NA,unknown,unknown,3,fledged,Y,2?,2850-57692,NA,3,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.51489698,34.04216351,23.26761549,23.2989681,2022,NA,NA,NA,NA,117.6666667,76.83333333,73.16666667
2850-57692,Martes,N,F,2022-07-07,114,114,113.5,Y,Y,73,73,73.5,72,72,71.5,NA,NA,NA,NA,NA,Y,1?,2850-57691,NA,unknown,unknown,3,fledged,Y,2?,2850-57691,NA,3,3,3,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,19.5929229,41.3936557,40.00686108,23.00514124,2022,NA,NA,NA,NA,113.8333333,71.83333333,73.16666667
2850-57693,Cargill,N,F,2022-07-11,115,115,115.5,Y,N,73.5,73.5,73.5,NA,NA,NA,18.84,NA,NA,NA,NA,N,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,2022,NA,NA,NA,NA,115.1666667,NA,73.5
2850-57694,Quick,N,M,2022-07-11,116,115.5,116,Y,Y,84.5,84,84.5,83,83.5,83.5,16.96,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.15143071,37.77852443,24.43986208,20.18858923,2022,NA,NA,NA,NA,115.8333333,83.33333333,84.33333333
2850-57695,Quick,N,M,2022-07-11,122,121.5,122,Y,Y,95,95,95,91,90.5,91,18.75,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,11.25679628,23.16404453,14.64111665,19.68767697,2022,NA,NA,NA,NA,121.8333333,90.83333333,95
2850-57696,Colorado Horse Rescue,N,F,2022-07-11,114,114,114,Y,Y,73,73.5,73,70,69.5,70,17.85,Lt Green,Dk Blue,NONE,L,Y,77,UNB,2022-05-13,5,3,3,fledged,Y,77.2,UNB,2022-07-03,4,4,4,fledged,Y,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,22.74684945,28.90854935,32.75738451,34.00616484,2022,133,184,NA,NA,114,69.83333333,73.16666667
2850-57697,Golden Grizzly,N,M,2022-07-14,118.5,118.5,118.5,Y,Y,88,88.5,88,89,88.5,89,16.17,NA,NA,NA,NA,Y,,,NA,,,,,,,,NA,NA,NA,,,,NA,,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,13.10264872,28.18820871,25.51081589,19.22270688,2022,NA,NA,NA,NA,118.5,88.83333333,88.16666667
